farm,treatment,endpoint,month,month_mean,overall_mean,max,days_survival,years_survival,mean_annual_colonies,mean_annual_bees,queen_mortality,queen_survival,new_queens,surviving_queens,proportion_queens_surviving
CHM,gdn,ColonyDensity_km2,April,11.03262997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,no gdn,ColonyDensity_km2,April,5.797488957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,alt gdn,ColonyDensity_km2,April,6.20943535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn pasture,ColonyDensity_km2,April,5.934892841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn,ColonyDensity_km2,April,7.244739129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,no gdn,ColonyDensity_km2,April,5.256892211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,alt gdn,ColonyDensity_km2,April,5.037788721,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn pasture,ColonyDensity_km2,April,4.981819185,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn,ColonyDensity_km2,April,9.358318558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,no gdn,ColonyDensity_km2,April,5.210737238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,alt gdn,ColonyDensity_km2,April,5.562469959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn pasture,ColonyDensity_km2,April,5.643639049,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn,ColonyDensity_km2,April,9.779548997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,no gdn,ColonyDensity_km2,April,6.571513151,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,alt gdn,ColonyDensity_km2,April,6.428273581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn pasture,ColonyDensity_km2,April,6.164871928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn,ColonyDensity_km2,April,9.571586362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,no gdn,ColonyDensity_km2,April,5.625070957,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,alt gdn,ColonyDensity_km2,April,6.492731388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn pasture,ColonyDensity_km2,April,6.384505935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn,ColonyDensity_km2,April,7.126168596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,no gdn,ColonyDensity_km2,April,6.598569514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,alt gdn,ColonyDensity_km2,April,6.793799743,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn pasture,ColonyDensity_km2,April,5.961949204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn,ColonyDensity_km2,April,9.017726693,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,no gdn,ColonyDensity_km2,April,5.552124879,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,alt gdn,ColonyDensity_km2,April,5.109939022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn pasture,ColonyDensity_km2,April,6.673372401,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn,ColonyDensity_km2,April,6.948710685,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,no gdn,ColonyDensity_km2,April,4.702502024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,alt gdn,ColonyDensity_km2,April,5.298803048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn pasture,ColonyDensity_km2,April,5.19323018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn,ColonyDensity_km2,April,6.760111918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,no gdn,ColonyDensity_km2,April,6.725363059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,alt gdn,ColonyDensity_km2,April,5.868843484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn pasture,ColonyDensity_km2,April,6.76488657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn,TotalActiveBees,May,40.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,no gdn,TotalActiveBees,May,28.73833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,alt gdn,TotalActiveBees,May,28.29166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn pasture,TotalActiveBees,May,30.93916667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn,TotalActiveBees,May,42.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,no gdn,TotalActiveBees,May,31.265,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,alt gdn,TotalActiveBees,May,36.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn pasture,TotalActiveBees,May,32.35833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn,TotalActiveBees,May,32.70083333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,no gdn,TotalActiveBees,May,27.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,alt gdn,TotalActiveBees,May,27.23666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn pasture,TotalActiveBees,May,29.48166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn,TotalActiveBees,May,64.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,no gdn,TotalActiveBees,May,34.31416667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,alt gdn,TotalActiveBees,May,35.4025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn pasture,TotalActiveBees,May,31.8425,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn,TotalActiveBees,May,41.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,no gdn,TotalActiveBees,May,28.88666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,alt gdn,TotalActiveBees,May,26.78166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn pasture,TotalActiveBees,May,29.48333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn,TotalActiveBees,May,52.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,no gdn,TotalActiveBees,May,28.475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,alt gdn,TotalActiveBees,May,31.805,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn pasture,TotalActiveBees,May,30.67916667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn,TotalActiveBees,May,61.07666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,no gdn,TotalActiveBees,May,35.8375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,alt gdn,TotalActiveBees,May,37.62333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn pasture,TotalActiveBees,May,35.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn,TotalActiveBees,May,58.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,no gdn,TotalActiveBees,May,34.21583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,alt gdn,TotalActiveBees,May,39.6375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn pasture,TotalActiveBees,May,38.0225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn,TotalActiveBees,May,37.9875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,no gdn,TotalActiveBees,May,36.0625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,alt gdn,TotalActiveBees,May,38.41666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn pasture,TotalActiveBees,May,32.00166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn,TotalActiveBees,May,54.1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,no gdn,TotalActiveBees,May,29.865,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,alt gdn,TotalActiveBees,May,30.31583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn pasture,TotalActiveBees,May,35.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn,TotalActiveBees,May,40.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,no gdn,TotalActiveBees,May,23.83166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,alt gdn,TotalActiveBees,May,27.0825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn pasture,TotalActiveBees,May,28.65416667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn,TotalActiveBees,May,37.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,no gdn,TotalActiveBees,May,39.51583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,alt gdn,TotalActiveBees,May,32.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn pasture,TotalActiveBees,May,39.305,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn,TotalAdultQueens,May,51.3825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,no gdn,TotalAdultQueens,May,37.515,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,alt gdn,TotalAdultQueens,May,33.86833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn pasture,TotalAdultQueens,May,37.74666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn,TotalAdultQueens,May,55.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,no gdn,TotalAdultQueens,May,35.27416667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,alt gdn,TotalAdultQueens,May,42.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn pasture,TotalAdultQueens,May,38.6175,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn,TotalAdultQueens,May,40.60583333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,no gdn,TotalAdultQueens,May,32.66833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,alt gdn,TotalAdultQueens,May,33.9025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn pasture,TotalAdultQueens,May,40.02416667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn,TotalAdultQueens,May,105.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,no gdn,TotalAdultQueens,May,40.79083333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,alt gdn,TotalAdultQueens,May,40.06333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn pasture,TotalAdultQueens,May,39.6725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn,TotalAdultQueens,May,54.625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,no gdn,TotalAdultQueens,May,37.55166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,alt gdn,TotalAdultQueens,May,33.7075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn pasture,TotalAdultQueens,May,36.5675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn,TotalAdultQueens,May,84.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,no gdn,TotalAdultQueens,May,35.2125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,alt gdn,TotalAdultQueens,May,40.5875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn pasture,TotalAdultQueens,May,40.405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn,TotalAdultQueens,May,88.09333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,no gdn,TotalAdultQueens,May,40.8525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,alt gdn,TotalAdultQueens,May,41.6525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn pasture,TotalAdultQueens,May,40.32166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn,TotalAdultQueens,May,86.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,no gdn,TotalAdultQueens,May,40.71333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,alt gdn,TotalAdultQueens,May,44.6925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn pasture,TotalAdultQueens,May,47.3375,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn,TotalAdultQueens,May,48.3625,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,no gdn,TotalAdultQueens,May,40.7525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,alt gdn,TotalAdultQueens,May,43.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn pasture,TotalAdultQueens,May,37.7975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn,TotalAdultQueens,May,72.8475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,no gdn,TotalAdultQueens,May,37.7125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,alt gdn,TotalAdultQueens,May,39.21666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn pasture,TotalAdultQueens,May,42.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn,TotalAdultQueens,May,63.035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,no gdn,TotalAdultQueens,May,28.30166667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,alt gdn,TotalAdultQueens,May,32.9025,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn pasture,TotalAdultQueens,May,35.61333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn,TotalAdultQueens,May,44.8125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,no gdn,TotalAdultQueens,May,45.9825,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,alt gdn,TotalAdultQueens,May,38.615,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn pasture,TotalAdultQueens,May,46.445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn,TotalAdultWorkers,May,209.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,no gdn,TotalAdultWorkers,May,115.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,alt gdn,TotalAdultWorkers,May,120.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn pasture,TotalAdultWorkers,May,128.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn,TotalAdultWorkers,May,213.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,no gdn,TotalAdultWorkers,May,141.66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,alt gdn,TotalAdultWorkers,May,161.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn pasture,TotalAdultWorkers,May,147.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn,TotalAdultWorkers,May,155.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,no gdn,TotalAdultWorkers,May,117.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,alt gdn,TotalAdultWorkers,May,112.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn pasture,TotalAdultWorkers,May,119.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn,TotalAdultWorkers,May,373.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,no gdn,TotalAdultWorkers,May,146.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,alt gdn,TotalAdultWorkers,May,155.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn pasture,TotalAdultWorkers,May,144.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn,TotalAdultWorkers,May,226.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,no gdn,TotalAdultWorkers,May,115.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,alt gdn,TotalAdultWorkers,May,114.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn pasture,TotalAdultWorkers,May,126.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn,TotalAdultWorkers,May,290.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,no gdn,TotalAdultWorkers,May,114.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,alt gdn,TotalAdultWorkers,May,137.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn pasture,TotalAdultWorkers,May,125.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn,TotalAdultWorkers,May,348.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,no gdn,TotalAdultWorkers,May,162.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,alt gdn,TotalAdultWorkers,May,174.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn pasture,TotalAdultWorkers,May,154.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn,TotalAdultWorkers,May,331.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,no gdn,TotalAdultWorkers,May,160.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,alt gdn,TotalAdultWorkers,May,196.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn pasture,TotalAdultWorkers,May,175.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn,TotalAdultWorkers,May,184.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,no gdn,TotalAdultWorkers,May,169.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,alt gdn,TotalAdultWorkers,May,187.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn pasture,TotalAdultWorkers,May,142.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn,TotalAdultWorkers,May,281.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,no gdn,TotalAdultWorkers,May,127.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,alt gdn,TotalAdultWorkers,May,128.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn pasture,TotalAdultWorkers,May,162.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn,TotalAdultWorkers,May,229.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,no gdn,TotalAdultWorkers,May,104.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,alt gdn,TotalAdultWorkers,May,119.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn pasture,TotalAdultWorkers,May,121.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn,TotalAdultWorkers,May,183.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,no gdn,TotalAdultWorkers,May,177.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,alt gdn,TotalAdultWorkers,May,141.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn pasture,TotalAdultWorkers,May,177.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn,TotalBeesEverProduced,May,18580.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,no gdn,TotalBeesEverProduced,May,12657.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,alt gdn,TotalBeesEverProduced,May,14011.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn pasture,TotalBeesEverProduced,May,14355.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn,TotalBeesEverProduced,May,20818.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,no gdn,TotalBeesEverProduced,May,14184.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,alt gdn,TotalBeesEverProduced,May,18030.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn pasture,TotalBeesEverProduced,May,15399.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn,TotalBeesEverProduced,May,15281.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,no gdn,TotalBeesEverProduced,May,13559.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,alt gdn,TotalBeesEverProduced,May,12479.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHH,gdn pasture,TotalBeesEverProduced,May,14118.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn,TotalBeesEverProduced,May,28098.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,no gdn,TotalBeesEverProduced,May,15412.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,alt gdn,TotalBeesEverProduced,May,16800.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHM,gdn pasture,TotalBeesEverProduced,May,15691.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn,TotalBeesEverProduced,May,19221.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,no gdn,TotalBeesEverProduced,May,14066.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,alt gdn,TotalBeesEverProduced,May,13212.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CW,gdn pasture,TotalBeesEverProduced,May,13177.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn,TotalBeesEverProduced,May,25182.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,no gdn,TotalBeesEverProduced,May,13574.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,alt gdn,TotalBeesEverProduced,May,16029.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
EM,gdn pasture,TotalBeesEverProduced,May,14623.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn,TotalBeesEverProduced,May,25049.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,no gdn,TotalBeesEverProduced,May,16906.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,alt gdn,TotalBeesEverProduced,May,17324.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ET,gdn pasture,TotalBeesEverProduced,May,16404.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn,TotalBeesEverProduced,May,25412.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,no gdn,TotalBeesEverProduced,May,15379.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,alt gdn,TotalBeesEverProduced,May,18245.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LH,gdn pasture,TotalBeesEverProduced,May,17687.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn,TotalBeesEverProduced,May,17518.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,no gdn,TotalBeesEverProduced,May,16646.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,alt gdn,TotalBeesEverProduced,May,18046.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LM,gdn pasture,TotalBeesEverProduced,May,15573.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn,TotalBeesEverProduced,May,23669.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,no gdn,TotalBeesEverProduced,May,15226.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,alt gdn,TotalBeesEverProduced,May,14125.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MN,gdn pasture,TotalBeesEverProduced,May,16801.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn,TotalBeesEverProduced,May,17917.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,no gdn,TotalBeesEverProduced,May,11699,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,alt gdn,TotalBeesEverProduced,May,13186.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
OB,gdn pasture,TotalBeesEverProduced,May,12870.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn,TotalBeesEverProduced,May,17956.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,no gdn,TotalBeesEverProduced,May,17917.46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,alt gdn,TotalBeesEverProduced,May,15408.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
PH,gdn pasture,TotalBeesEverProduced,May,18472.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn,TotalColonies,May,22.8675,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,no gdn,TotalColonies,May,18.91833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,alt gdn,TotalColonies,May,17.86833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
B,gdn pasture,TotalColonies,May,19.65833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,gdn,TotalColonies,May,25.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,no gdn,TotalColonies,May,19.16833333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CH,alt gdn,TotalColonies,May,22.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
