farm,treatment,endpoint,month,month_mean,overall_mean,max,days_survival,years_survival,mean_annual_colonies,mean_annual_bees,queen_mortality,queen_survival,new_queens,surviving_queens,proportion_queens_surviving
MN,alt gdn,TotalActiveBees,March,3.863333333,9.132340511,74.75,2845.45,7.795753425,85.26916667,5610.53,NA,NA,NA,NA,NA
MN,gdn pasture,TotalActiveBees,March,3.9,10.26004455,77.6,2999.05,8.216575342,88.885,6282.87,NA,NA,NA,NA,NA
OB,gdn,TotalActiveBees,March,11.5925,10.7653349,80.6,2813.55,7.708356164,86.95416667,6543.2,NA,NA,NA,NA,NA
OB,no gdn,TotalActiveBees,March,2.5,7.168269129,65.75,2099.6,5.752328767,71.17333333,4322.77,NA,NA,NA,NA,NA
OB,alt gdn,TotalActiveBees,March,3.355,8.053667356,71.45,2053.3,5.625479452,79.83583333,5055.84,NA,NA,NA,NA,NA
OB,gdn pasture,TotalActiveBees,March,3.151666667,8.939320775,70.7,1722.2,4.718356164,90.19083333,5534.97,NA,NA,NA,NA,NA
PH,gdn,TotalActiveBees,March,5.79,10.49296617,82.1,3164.5,8.669863014,91.29416667,6395.07,NA,NA,NA,NA,NA
PH,no gdn,TotalActiveBees,March,4.123333333,11.24144299,85.8,3372.8,9.240547945,99.92666667,6844.2,NA,NA,NA,NA,NA
PH,alt gdn,TotalActiveBees,March,3.8975,9.604854631,74.4,2845.75,7.796575342,88.7025,5891.97,NA,NA,NA,NA,NA
PH,gdn pasture,TotalActiveBees,March,4.06,11.26897149,88.55,2886.9,7.909315068,97.92,6849.08,NA,NA,NA,NA,NA
B,gdn,TotalAdultQueens,March,255.43,230.4324996,533.75,NA,NA,NA,NA,0.781981542,0.218018458,199.0391667,77.46,0.214279473
B,no gdn,TotalAdultQueens,March,214.7808333,177.8526258,502.45,NA,NA,NA,NA,0.784037862,0.215962138,165.7083333,57.8,0.219298688
B,alt gdn,TotalAdultQueens,March,201.45,177.3182579,508.65,NA,NA,NA,NA,0.786901965,0.213098035,168.0791667,59.38,0.211908058
B,gdn pasture,TotalAdultQueens,March,221.35,194.2644667,509.9,NA,NA,NA,NA,0.787096153,0.212903847,181.0591667,62.99,0.208240322
CH,gdn,TotalAdultQueens,March,269.31,248.5372371,532.45,NA,NA,NA,NA,0.788388199,0.211611801,224.2475,81.48,0.211611801
CH,no gdn,TotalAdultQueens,March,215.46,188.7114386,505.5,NA,NA,NA,NA,0.791659673,0.208340327,174.8466667,60.3,0.201198253
CH,alt gdn,TotalAdultQueens,March,253.53,233.1890182,528.65,NA,NA,NA,NA,0.791300457,0.208699543,226.8166667,77.34,0.208699543
CH,gdn pasture,TotalAdultQueens,March,220.535,195.6394943,510.65,NA,NA,NA,NA,0.792536316,0.207463684,193.3975,64.66,0.198949372
CHH,gdn,TotalAdultQueens,March,213.6575,185.4642358,502.2,NA,NA,NA,NA,0.79001038,0.20998962,166.1266667,59.64,0.205149744
CHH,no gdn,TotalAdultQueens,March,199.9825,163.8150328,500,NA,NA,NA,NA,0.786772891,0.213227109,139.8233333,53.53,0.208364056
CHH,alt gdn,TotalAdultQueens,March,197.3708333,165.4920448,513.55,NA,NA,NA,NA,0.800373601,0.199626399,154.8166667,50.63,0.20086411
CHH,gdn pasture,TotalAdultQueens,March,215.3583333,179.9205511,505.5,NA,NA,NA,NA,0.772071244,0.227928756,174.1,61.91,0.22825553
CHM,gdn,TotalAdultQueens,March,343.64,349.78431,594.2,NA,NA,NA,NA,0.763446002,0.236553998,271.91,115.69,0.236553998
CHM,no gdn,TotalAdultQueens,March,231.6066667,200.2136589,512.4,NA,NA,NA,NA,0.793730313,0.206269687,186.025,67.25,0.212886362
